Feature,Importance
Sp_PeakTime_aVL,0.00018126014481945817
P_Morph_V1,0.00018006383926781304
Rp_Amp_V3,0.00017496366724687612
Sp_Dur_V2,0.00017446054982305582
Rp_Amp_V4,0.00017278152912602587
Sp_Area_V2,0.00017081195650369687
Sp_Dur_V4,0.0001682882582950327
Pp_PeakTime_I,0.00015597755456406434
P+_Dur_aVR,0.00015372700271023027
Rp_PeakTime_V4,0.00014939058820669681
Sp_PeakTime_III,0.0001486701421218656
P_Morph_V5,0.000129317590509052
P_Morph_II,0.00012665744219764562
Sp_Area_V4,0.00012436672557792548
P_Morph_III,0.0001237529085286088
Sp_PeakTime_V1,0.00011781534827235392
Sp_Dur_aVL,0.00011570140338597535
T_Morph_aVF,0.00011501544139395326
Rp_Area_I,0.00010809639145193969
Sp_Area_V3,0.00010770198620729528
Sp_PeakTime_aVF,0.00010465056797236961
Pp_Dur_aVR,0.00010178483316232845
Rp_PeakTime_V5,9.910281159583542e-05
Sp_Dur_V3,9.207159592286621e-05
T_Morph_V5,8.185293872730207e-05
Sp_Dur_V1,7.492701041559547e-05
Sp_PeakTime_V4,7.425249708121864e-05
Pp_PeakTime_V4,7.308767398156353e-05
P-_Dur_V5,6.935779502027336e-05
Tp_Area_V2,6.358445645704613e-05
Sp_Dur_aVR,6.073025465643002e-05
P_Morph_V4,5.798814502560486e-05
Rp_Dur_I,5.10384157000078e-05
Sp_PeakTime_V3,4.92298474409065e-05
Rp_Dur_V3,4.78280039792249e-05
Sp_Dur_V5,4.523741160282644e-05
P_Morph_I,4.49140917241447e-05
Sp_PeakTime_II,4.22888759018506e-05
Sp_Area_V5,4.212497102128247e-05
T_Morph_III,4.048022378425477e-05
Pp_Dur_V6,3.6540941899579205e-05
P_Morph_V3,3.4237702740198475e-05
P_Morph_aVF,3.31502928698467e-05
Sp_Dur_I,3.2844590181011266e-05
Sp_PeakTime_V2,3.134552389383316e-05
Sp_PeakTime_V5,2.971084682878612e-05
Pp_Dur_V5,2.8637936832067573e-05
Rp_PeakTime_V6,2.7025414441349142e-05
Rp_Dur_V4,2.4035324389904233e-05
P-_Dur_V6,2.3748494795192096e-05
P_Morph_V2,2.2642828437294494e-05
Pp_PeakTime_aVR,2.126563912636395e-05
T_Morph_aVL,2.113812784585407e-05
Rp_Dur_V5,2.1000025730769514e-05
Sp_Area_II,1.7819838337915933e-05
Pp_PeakTime_V5,1.6086722992486875e-05
Sp_Dur_II,1.528404748769698e-05
Rp_PeakTime_I,1.3374513354531284e-05
Rp_Dur_V6,4.187930706825297e-06
P_Morph_V6,0.0
T_Morph_aVR,0.0
P_Morph_aVR,0.0
Sp_PeakTime_I,0.0
Sp_PeakTime_aVR,0.0
T_Morph_V3,0.0
T_Morph_V4,0.0
Pp_PeakTime_V6,0.0
Sp_Dur_V6,0.0
Sp_Area_V6,0.0
Sp_PeakTime_V6,0.0
T_Morph_II,0.0
QT_IntCorr_Global,0.0
Q_On_Global,0.0
Q_Off_Global,0.0
Sp_Amp_V3,0.0
T_Morph_V1,0.0
T_Morph_V2,0.0
HR__Global,0.0
